Categoria;Nome;Prezzo;Allergeni;Ingredienti
PIZZE CLASSICHE;BRESAOLONA;9.50;1,7,12;impasto schiacciata, olio, sale, rosmarino, bresaola, fiordilatte, datterini
PIZZE CLASSICHE;CAPRESE;9.00;1,7,12;impasto classico, pomodoro italiano, mozzarella, pomodorini speziati, basilico
PIZZE CLASSICHE;CAPRICCIOSA;9.50;1,7,12;impasto classico, pomodoro italiano, mozzarella, prosciutto cotto, funghi trifolati, carciofini, salsiccia
PIZZE CLASSICHE;CRUDO STRACCHINO E RUCOLA;10.00;1,7;impasto classico, pomodoro italiano, mozzarella, crudo di Parma 24 mesi, stracchino, rucola
PIZZE CLASSICHE;FRIARIELLI E SALSICCIA;9.00;1,7,12;impasto classico, mozzarella, friarielli, salsiccia, scaglie di grana
PIZZE CLASSICHE;FUNGHI MISTI;9.50;1,7,12;impasto classico, pomodoro italiano, mozzarella, funghi freschi, funghi porcini
PIZZE CLASSICHE;GORGONZOLA E SPECK;8.50;1,7;impasto classico, pomodoro italiano, mozzarella, gorgonzola, speck
PIZZE CLASSICHE;LA VERA PIZZA;7.50;1,7;impasto classico, pomodoro italiano, fiordilatte, basilico
PIZZE CLASSICHE;MARGHERITA;6.00;1,7;impasto classico, pomodoro italiano, mozzarella
PIZZE CLASSICHE;MARINARA;5.00;1;impasto classico, pomodoro italiano, origano, aglio, olio
PIZZE CLASSICHE;NAPOLI;8.00;1,4,7;impasto classico, pomodoro italiano, mozzarella, acciuga del cantabrico, origano
PIZZE CLASSICHE;PARMIGIANA;8.50;1,7;impasto classico, pomodoro italiano, mozzarella, melanzane, scaglie di grana
PIZZE CLASSICHE;PATATE FRITTE E WURSTEL;8.50;1,7;impasto classico, pomodoro italiano, mozzarella, wurstel, patate stick
PIZZE CLASSICHE;PORCINI E RADICCHIO;9.00;1,7,12;impasto classico, pomodoro italiano, mozzarella, porcini, radicchio
PIZZE CLASSICHE;PROSCIUTTO COTTO E FUNGHI;8.50;1,7,12;impasto classico, pomodoro italiano, mozzarella, prosciutto cotto, funghi trifolati
PIZZE CLASSICHE;QUATTRO FORMAGGI;9.50;1,7;impasto classico, pomodoro italiano, mozzarella, formaggi misti
PIZZE CLASSICHE;ROMANA;9.00;1,7,4;impasto classico, pomodoro italiano, mozzarella, acciuga del cantabrico, cappero, origano
PIZZE CLASSICHE;SALAMINO E SCAMORZA;8.50;1,7;impasto classico, pomodoro italiano, mozzarella, salamino, scamorza
PIZZE CLASSICHE;SPECK E PORCINI;9.00;1,7,12;impasto classico, pomodoro italiano, mozzarella, speck, funghi porcini
PIZZE CLASSICHE;TONNO E CIPOLLA;8.50;1,4,7;impasto classico, pomodoro italiano, mozzarella, cipolla di tropea (stagionale), tonno
PIZZE CLASSICHE;VEGETARIANA;9.50;1,7;impasto classico, pomodoro italiano, mozzarella, melanzane grigliate, zucchine grigliate, peperoni grigliati
PIZZA SENZA GLUTINE;SG SCHIACCIATA;4.50;;Base senza glutine 
PIZZA SENZA GLUTINE;SG MARGHERITA;6.50;;Base senza glutine pomodoro e fiordilatte 
DOLCI;PANNA COTTA CON CREMA Caffe';6.00;3,7;Panna, latte, uova, caffe', miele, cacao, sale, agar agar, vaniglia.
DOLCI;CREMA DI ZABAIONE AL MARSALA Secco Fine;6.00;3,7;Tuorlo d'uovo, vino di marsala, zucchero, latte, panna, sale, vaniglia.
DOLCI;BRUNET EXTRA-ARTIGIANALE AL RHUM;6.00;3,7,8;Latte, panna, tuorlo, albume, mandorla di albicocca, agenti lievitanti E500, E503, cacao amaro, rhum, miele, scorza d'arancio candita, sale.
DOLCI;CACCOLE DELLA MAMMA;5.00;8;Bon Bon di mandorle e nocciole ricoperte di cioccolato fondente minino 70%


















